,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,P_type
2858,Fear Effect,PS,1998.0,Action,Eidos Interactive,0.4,0.27,0.0,0.05,0.72,,,,,,,Console
2859,Battlefield: Bad Company 2,PC,2010.0,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.72,87.0,46.0,8.3,1467.0,EA DICE,M,OS
2860,DiRT 3,X360,2011.0,Racing,Codemasters,0.23,0.4,0.01,0.08,0.72,87.0,81.0,7.1,166.0,Codemasters,T,Console
2861,The Lord of the Rings: The Two Towers,XB,2002.0,Action,Electronic Arts,0.45,0.24,0.0,0.03,0.71,79.0,17.0,8.1,18.0,Stormfront Studios,T,Console
2862,Madden NFL 2003,XB,2002.0,Sports,Electronic Arts,0.67,0.02,0.0,0.03,0.71,92.0,16.0,8.3,16.0,EA Tiburon,E,Console
2863,Skate,X360,2007.0,Sports,Electronic Arts,0.62,0.03,0.0,0.06,0.71,86.0,59.0,8.4,137.0,EA Black Box,T,Console
2864,iCarly,DS,2009.0,Adventure,Activision,0.66,0.01,0.0,0.05,0.71,,,8.3,6.0,Human Soft,E,Handheld System
2865,XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,0.27,0.36,0.0,0.08,0.71,89.0,57.0,8.2,2235.0,Firaxis Games,M,OS
2866,Ben 10: Protector of Earth,PSP,2007.0,Action,D3Publisher,0.23,0.3,0.0,0.18,0.71,60.0,4.0,7.2,23.0,High Voltage Software,E10+,Handheld System
2867,Virtua Fighter 4: Evolution,PS2,2003.0,Fighting,Sega,0.35,0.27,0.0,0.09,0.71,93.0,30.0,9,48.0,Sega,T,Console
2868,Crysis,PC,2007.0,Shooter,Electronic Arts,0.0,0.69,0.0,0.02,0.71,91.0,56.0,8,1970.0,Crytek,M,OS
2869,Resident Evil: Survivor,PS,2000.0,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,39.0,10.0,7,47.0,Capcom,M,Console
2870,The Sims 2: Castaway,DS,2007.0,Simulation,Electronic Arts,0.62,0.04,0.0,0.06,0.71,66.0,8.0,4,5.0,Full Fat,E,Handheld System
